creator_username,creator_id,creator_followers,creator_verified,creator_bio,creator_type,creator_gender,country_origin,is_ai_generated,video_id,video_url,posting_date,duration_seconds,hashtag,caption,language,likes,views,shares,comments,engagement_rate,is_acne_relevant,before_after,video_intent,location_of_shoot,misinformation_label,claim_type,claim_accuracy,treatment_origin,cultural_claim,western_accepted,label_confidence,notes,transcript,product_name,product_brand,product_category,product_shown,ingredient_named,clinical_validity,start_acne_score,end_acne_score,delta_improvement,subject_gender_visual,single_multiple_people,indoor_outdoor
dr.mamina,6732164166663291910,1200000,TRUE,"Triple board-certified Dermatologist, Internist, & Dermatopathologist",dermatologist,unknown,Unknown,no,7255679807080385835,https://www.tiktok.com/@dr.mamina/video/7255679807080385835,2023-07-14T14:23:40.000Z,36,"acnetreatment, acnetreatment, pimples, acne, acnetips, skincareroutine, salicylicacid, adapalene, retinol, benzoylperoxide, panoxyl, acnescar, acneregimen","#AcneTreatment can seem overwhelming, but here is a basic primer. Ingredients to look for are salicylic acid, adapalene, and benzoyl peroxide. There's also azelaic acid, sulfur, niacinamide, glycolic acid, succinic acid, and others. But the first three are the main work horse ingredients. If these don't work, then I would see your trusty board-certified derm for other options. 

@CeraVe @La Roche-Posay @LaRochePosayUS @@differinus @PanOxyl 

#acnetreatment #pimples #acne #acnetips #skincareroutine #salicylicacid #adapalene #retinol #benzoylperoxide #panoxyl #acnescar #acneregimen",English,355300,5800000,4954,682,6.13,yes,no,product_promotion,unknown,accurate,clinically_accurate,supported,Western_clinical,no,yes,high,,,,,,,,,,,,,,
kiki.13521,7214763948326077445,27600,FALSE,"main @qxnn190 
ig: kiki.17650
Thank you for 21k ❤️",patient,unknown,Unknown,no,7627904891175832864,https://www.tiktok.com/@kiki.13521/video/7627904891175832864,2026-04-12T16:06:49.000Z,19,"acnetrack, acnegirl, clearskin, cleanyourskin, skinproblems","They told me to cleanse my skin, and I did it using the AcneTrack app☝🏽❤️ #acnetrack #acnegirl #clearskin #cleanyourskin #skinproblems ",English,87700,1700000,1699,450,5.16,yes,no,personal_anecdote,unknown,na,none,na,Unknown,no,unknown,medium,,,,,,,,,,,,,,
maddimccormack,6842161355832214534,36500,FALSE,"First Class Agency✈️

real skin. real days. real confidence ✨

No negativity is allowed 🩷",patient,unknown,Unknown,no,7624571357644328214,https://www.tiktok.com/@maddimccormack/video/7624571357644328214,2026-04-03T16:31:04.000Z,29,"acnepositivity, fyp, loveyou, acneproneskin","I really couldn’t have done it without all you amazing people in the world 🩷 
Follow along to see more of my journey 🤍
#acnepositivity #fyp #loveyou #acneproneskin ",English,20900,231900,221,161,9.01,yes,no,personal_anecdote,unknown,na,none,na,Unknown,no,unknown,medium,,,,,,,,,,,,,,
kennedyfaris,28417841,55200,FALSE,"San Diego🏄‍♀️🥥
Here to help you feel confident 
💌: kennedy@morecreative.co",influencer,unknown,US,no,7628699150405602591,https://www.tiktok.com/@kennedyfaris/video/7628699150405602591,2026-04-14T19:29:20.000Z,174,"realisticroutineswithken, confidentwithken, acneproneskin, acnestruggles, grwm",GRWM!! #realisticroutineswithken #confidentwithken #acneproneskin #acnestruggles #grwm ,English,2774,32400,19,161,8.56,yes,no,education,unknown,na,none,na,Unknown,no,unknown,medium,,,,,,,,,,,,,,
kiki.13521,7214763948326077445,27600,FALSE,"main @qxnn190 
ig: kiki.17650
Thank you for 21k ❤️",influencer,unknown,Unknown,no,7607481167566114070,https://www.tiktok.com/@kiki.13521/video/7607481167566114070,2026-02-16T15:12:22.000Z,19,"acne, acnetrackapp, acnegirl, clearskin, skin","Let's go! If I did it, you can do it too! @AcneTrack App #acne #AcneTrackApp #acnegirl #clearskin #skin ",English,29700,546000,666,196,5.44,yes,no,education,unknown,na,none,na,Unknown,no,unknown,medium,,,,,,,,,,,,,,
she.want.ayden,7245041801039905838,1400000,FALSE,"✉️ ayden@tiddle.io
Follow me more here 👇💕
✝️✝️",influencer,female,Unknown,no,7627270311901236511,https://www.tiktok.com/@she.want.ayden/video/7627270311901236511,2026-04-10T23:04:37.000Z,35,"vtcosmetics, microneedling, reedleshot, skinbooster, glassskin","@VT Cosmetics US  #VTcosmetics #Microneedling #ReedleShot
#Skinbooster #Glassskin ",English,22800,750000,448,154,3.04,yes,no,education,unknown,na,none,na,Unknown,no,unknown,medium,,,,,,,,,,,,,,
kimcassironway,7595218820580803598,161100,FALSE,"🇰🇷 Korean Queen Mind attached 👸🏻
✨Glow ups & SKINCARE 

📍kimcassironway@gmail.com",influencer,unknown,Unknown,no,7628232466133781774,https://www.tiktok.com/@kimcassironway/video/7628232466133781774,2026-04-13T13:18:54.000Z,122,"koreanskincare, howtoglowup, porecare, acnetreatment, glowuptips","K-skincare Day 9 | pores & acne 🧖🏻‍♀️

##koreanskincare##howtoglowup##porecare##acnetreatment##glowuptips",English,90900,1300000,9618,596,6.99,yes,no,education,unknown,na,none,na,Unknown,no,unknown,medium,,,,,,,,,,,,,,
parker_dam,7519328726434677815,1622,FALSE,"me.✌️
18",influencer,unknown,Unknown,no,7624780272793357599,https://www.tiktok.com/@parker_dam/video/7624780272793357599,2026-04-04T06:02:10.000Z,27,"acne, accutane, isotretinoin, glowup, ad",Accutane Day 90 Progress! Seeing big changes here #acne #accutane #isotretinoin #glowup #ad @Honeydew Care ,English,541,53300,24,9,1.02,yes,yes,product_promotion,unknown,accurate,clinically_accurate,supported,Western_clinical,no,yes,medium,,,,,,,,,,,,,,
ej.health,7130475387574043691,7193,FALSE,"Environment > Diet
TRUE Ancestral health enthusiast
🫀☀️🥩🍳🌱",influencer,unknown,Unknown,no,7625745641091697933,https://www.tiktok.com/@ej.health/video/7625745641091697933,2026-04-06T20:28:23.000Z,60,"ancestralhealth, health, acnetips, nutrition, healthadvice","Acne isn’t just hormonal or genetic. Reduce the amount your body has to detox, and you’ll reduce acne. Simple as that. #ancestralhealth #health #acnetips #nutrition #healthadvice ",English,2146,40700,259,55,5.27,yes,no,product_promotion,unknown,na,none,na,Unknown,no,unknown,medium,,,,,,,,,,,,,,
lifewithmils,7215212587512153090,361700,FALSE,"🫧 skincare & beauty
💌 millie@lifewithmils.com",influencer,unknown,Unknown,no,7619647885335989525,https://www.tiktok.com/@lifewithmils/video/7619647885335989525,2026-03-21T10:05:31.000Z,16,"acneproneskin, breakout, skintok, lifewithmils, clearskin",and you can’t figure out why🥲 #acneproneskin #breakout #skintok #lifewithmils #clearskin ,English,138700,1800000,2140,339,7.71,yes,no,education,unknown,na,none,na,Unknown,no,unknown,medium,,,,,,,,,,,,,,
