creator_username,creator_id,creator_followers,subject_of_experience,intent_clarity,views,likes,comments,shares,engagement_rate,claim_type,claim_accuracy,evidence_present,label_confidence,Language,video_shot_complexity,face_visibility,indoor_outdoor,creator_gender,creator_race_visual,before_after_claim,No._people_video,condition_duration,condition_recurrence,active_ingredient,product_name,product_brand,country_origin,video_duration_seconds,creator_age_range,creator_type,creator_motivation,video_format,Video_type,skin_condition_type,skin_severity,treatment_type,outcome_type,side_effects,time_to_result_claim,unrealistic_claim_flag,sponsored_content,affiliate_link_present,hashtags,condition_extent,misinfo_label
dr.mamina,dr.mamina,13.997832948091215,general_advice,2,15.573368647930426,12.781283341160998,6.484635235635252,8.510369966068112,6.13,clinically_accurate,supported,no,2,en,2,yes,indoor,female,asian,0,1,unknown,unknown,"salicylic acid, adapalene, benzoyl peroxide, azelaic acid, sulfur, niacinamide, glycolic acid, succinic acid, retinol","salicylic acid cleanser, salicylic acid toner, Differin, PanOxyl","CeraVe, La Roche-Posay, Differin, PanOxyl",United States,3.6109179126442243,adult,dermatologist,education,talking_head,0.0,acne,1,topical,promised_only,none_mentioned,none,0,unclear,no,"#AcneTreatment, #acnetreatment, #pimples, #acne, #acnetips, #skincareroutine, #salicylicacid, #adapalene, #retinol, #benzoylperoxide, #panoxyl, #acnescar, #acneregimen",face_only,no
kiki.13521,kiki.13521,10.285376924115587,self,1,15.096444681204078,12.002737848944351,6.706862336602747,8.021256180143997,4.53,general_advice,partial,anecdotal,1,en,2,yes,indoor,female,white,1,1,days,yes,isotretinoin,"AcneTrack app, Accutane",AcneTrack,United States,2.995732273553991,young_adult,patient,personal_sharing,talking_head,0.0,cystic_acne,3,mixed,promised_only,unclear,months,0,unclear,no,"#acnetrack, #acnegirl, #clearskin, #cleanyourskin, #skinproblems",face_only,no
maddimccormack,maddimccormack,10.513280297700861,self,1,12.535739636044429,10.077482875583607,5.220355825078324,5.541263545158426,8.56,gut_health,FALSE,anecdotal,2,en,2,yes,indoor,female,white,1,1,unknown,unknown,none,none,none,United States,3.4339872044851463,young_adult,patient,advocacy,talking_head,0.0,acne,2,lifestyle,improved,none_mentioned,none,1,no,no,"#acnepositivity, #fyp, #loveyou, #acneproneskin",face_only,no
kennedyfaris,kennedyfaris,10.922352923113982,general_advice,2,11.419724060136211,8.726481196440007,5.765191102784844,3.9512437185814275,6.77,clinically_accurate,partial,no,1,en,2,yes,indoor,female,white,0,1,weeks,unknown,"salicylic acid, mandelic acid, adapalene",adapalene,none,United States,5.1647859739235145,young_adult,dermatologist,education,talking_head,0.0,cystic_acne,2,topical,promised_only,none_mentioned,none,0,no,no,"#realisticroutineswithken, #confidentwithken, #acneproneskin, #acnestruggles, #grwm",face_only,no
kiki.13521,kiki.13521,10.285376924115587,general_advice,1,13.254620708757363,10.344995251991222,5.3706380281276624,6.551080335043404,5.45,diy_topicals,partial,anecdotal,1,en,2,yes,indoor,female,white,1,1,unknown,yes,"benzoyl peroxide, adapalene, melatonin",Adapalene gel,AcneTrack App,United States,2.995732273553991,not_identified,other,promotion,talking_head,0.0,hormonal_acne,2,topical,promised_only,dryness,months,1,unclear,no,"#acne, #AcneTrackApp, #acnegirl, #clearskin, #skin",face_only,no
she.want.ayden,she.want.ayden,14.151983508870947,self,2,14.220976332738882,10.494075844768336,5.241747015059643,6.642486801367256,2.41,product_promotion,partial,anecdotal,1,en,2,yes,indoor,male,mixed,1,1,years,no,none,Band-Aid Hydro Seal All Purpose Dual Action Seal Hydrocolloid Gel Bandages,"Band-Aid, VT Cosmetics",United States,3.6109179126442243,young_adult,influencer,promotion,talking_head,0.0,acne,1,home_remedy,promised_only,none_mentioned,instant,1,yes,no,"#VTcosmetics, #Microneedling, #ReedleShot, #Skinbooster, #Glassskin",face_only,yes
kimcassironway,kimcassironway,12.203073151542435,self,2,15.009433329466965,12.201567512641383,6.994849985833071,9.952325334619427,6.03,diy_topicals,partial,anecdotal,1,en,2,yes,indoor,female,asian,0,1,years,yes,none,"pimple patches, hydrocolloid rolls",none,United States,4.812184355372417,young_adult,influencer,education,demo,0.0,acne,1,home_remedy,promised_only,none_mentioned,days,0,no,no,#koreanskincare,face_only,yes
parker_dam,parker_dam,7.401231264413015,patient,1,11.362114203075018,6.794586580876499,2.833213344056216,3.713572066704308,1.04,product_promotion,partial,anecdotal,1,en,1,unknown,unknown,unknown,unknown,0,1,months,unknown,sulfur,"accutane, miraz acne sulfur mask","miraz, honeydew care",United States,3.332204510175204,young_adult,patient,personal_sharing,before_after,0.0,acne,2,oral,improved,none_mentioned,months,0,unclear,no,"#acne, #accutane, #isotretinoin, #glowup, #ad",unknown,no
ej.health,ej.health,8.932080438103307,general_advice,0,10.868587496017359,7.872836175025724,4.204692619390966,5.762051382780177,5.0,diy_topicals,FALSE,no,2,en,1,unknown,unknown,unknown,unknown,0,1,unknown,yes,none,none,none,United States,4.110873864173311,young_adult,influencer,education,talking_head,0.0,acne,1,diet,promised_only,none_mentioned,none,1,unclear,no,"#ancestralhealth, #health, #acnetips, #nutrition, #healthadvice",unknown,not_sure
lifewithmils,lifewithmils,12.799954585333216,patient,2,14.45736497045232,11.949895700065218,5.8916442118257715,7.759187438507795,8.15,clinically_accurate,supported,yes,2,en,3,yes,indoor,female,white,1,1,unknown,yes,kenalog,kenalog,none,United States,2.8903717578961645,adult,dermatologist,education,talking_head,0.0,cystic_acne,2,professional_procedure,improved,none_mentioned,days,0,no,no,"#acneproneskin, #breakout, #skintok, #lifewithmils, #clearskin",face_only,no
